coin,total,hold,available,entry_notional
UBTC,103.0531719611,16.92193,86.1312419611,9477244.13439046
UETH,2051.009235051,516.3343,1534.674935051,6417405.01348268
HYPE,169197.17860762,51564.61,117632.56860762,4153412.28590153
USDH,2240899.93851454,2127582.76701,113317.1715045399,2241233.83954727
USOL,15652.82747347,3349.65,12303.177473470001,2211373.89964584
USDT0,1713551.50853073,1296371.34158,417180.1669507299,1711842.66068042
UXPL,3672973.93508,1880357.5,1792616.4350800002,581456.51536677
UPUMP,183933146.602367,52153049.0,131780097.60236701,468074.19218158
UMON,9048746.516176,1847557.4,7201189.116176,212882.95272839
KHYPE,7803.28990409,1184.44,6618.849904090001,193733.29241862
UFART,485271.898101,482053.3,3218.5981010000105,184560.99556933
UBONK,10021583789.38742,4106810682.0,5914773107.387421,102967.97903933
UUUSPX,136565.18588871,81480.5,55084.685888709995,81076.57080455
UDZ,280735.98374365,264126.85,16609.133743650047,37417.49473052
UENA,157942.926789,125247.9,32695.026788999996,34989.82989181
VAULT,4627.59670321,0.0,4627.59670321,2203.18418236
JPEG,66666.66666666,0.0,66666.66666666,994.06666666
USDHL,647.9339132,0.0,647.9339132,647.84025596
FATCAT,696.69696969,0.0,696.69696969,25.99933751
PEAR,174616.306931,0.0,174616.306931,17.69516497
NEIRO,118482.479186,0.0,118482.479186,11.99052375
MEOW,185138.227502,0.0,185138.227502,10.66405993
PURR,94.88772,0.0,94.88772,6.36230727
PIP,0.5,0.0,0.5,1.4088
WOW,13115.9349,0.0,13115.9349,1.31159349
XAUT0,0.00024245,0.0,0.00024245,1.01746816
MUNCH,258540.28178,0.0,258540.28178,0.95671443
RAT,30.555941,0.0,30.555941,0.66373615
STAR,4939.5300722,0.0,4939.5300722,0.493953
LAUNCH,1.0,0.0,1.0,0.25959
LICKO,31076.60957669,0.0,31076.60957669,0.18645965
LQNA,0.05493901,0.0,0.05493901,0.09672562
LUCKY,214.48926,0.0,214.48926,0.00231648
UP,0.8989855,0.0,0.8989855,0.00089898
USDC,9132762.52576607,7223357.30697316,1909405.2187929088,0.0
HFUN,0.73279813,0.0,0.73279813,0.0
LATINA,668488.2935,0.0,668488.2935,0.0
